"","link","influence","cumsum","rank","color","run","MG","H","model","simname"
"NCCspr.NCCspr2","NCCspr.NCCspr",0.472218070776749,99.67,87,"pink","Fall",".C10","5","null","H5.sim.null"
"d3.d32","d3.d3",0.473492331991534,99.2,86,"red","Fall",".C10","5","null","H5.sim.null"
"e3.f32","e3.f3",0.475697844460945,98.73,85,"green","Fall",".C10","5","null","H5.sim.null"
"c1.c12","c1.c1",0.484721770472443,98.25,84,"pink","Fall",".C10","5","null","H5.sim.null"
"d3.c12","d3.c1",0.487155063571285,97.77,83,"red","Fall",".C10","5","null","H5.sim.null"
"b3.b32","b3.b3",0.493387187690924,97.28,82,"pink","Fall",".C10","5","null","H5.sim.null"
"a3.a32","a3.a3",0.494825275849871,96.79,81,"black","Fall",".C10","5","null","H5.sim.null"
"d3.f12","d3.f1",0.503984834418474,96.29,80,"red","Fall",".C10","5","null","H5.sim.null"
"b2.c22","b2.c2",0.520869542242183,95.79,79,"pink","Fall",".C10","5","null","H5.sim.null"
"b3.c22","b3.c2",0.528321727880941,95.27,78,"pink","Fall",".C10","5","null","H5.sim.null"
"g3.d21","g3.d2",0.537813188497791,94.74,77,"red","Fall",".C10","5","null","H5.sim.null"
"d4.d42","d4.d4",0.542637300081585,94.2,76,"red","Fall",".C10","5","null","H5.sim.null"
"a3.b32","a3.b3",0.546421759510701,93.66,75,"black","Fall",".C10","5","null","H5.sim.null"
"c2.c22","c2.c2",0.57256817187901,93.11,74,"pink","Fall",".C10","5","null","H5.sim.null"
"c1.f12","c1.f1",0.579236299338783,92.54,73,"pink","Fall",".C10","5","null","H5.sim.null"
"c3.b32","c3.b3",0.579349719779818,91.96,72,"pink","Fall",".C10","5","null","H5.sim.null"
"c2.b32","c2.b3",0.586319657523338,91.38,71,"pink","Fall",".C10","5","null","H5.sim.null"
"b2.b32","b2.b3",0.59521493044349,90.79,70,"pink","Fall",".C10","5","null","H5.sim.null"
"NCCfall.NCCfall2","NCCfall.NCCfall",0.620804044649236,90.2,69,"pink","Fall",".C10","5","null","H5.sim.null"
"b2.c32","b2.c3",0.623612525094247,89.58,68,"pink","Fall",".C10","5","null","H5.sim.null"
"NCCfall.g32","NCCfall.g3",0.625714357196868,88.96,67,"pink","Fall",".C10","5","null","H5.sim.null"
"b3.c32","b3.c3",0.626923467533666,88.33,66,"pink","Fall",".C10","5","null","H5.sim.null"
"a1.d4","a1.d4",0.662152526191042,87.7,65,"black","Fall",".C10","5","null","H5.sim.null"
"c3.d32","c3.d3",0.663443886331994,87.04,64,"pink","Fall",".C10","5","null","H5.sim.null"
"c2.b22","c2.b2",0.678876921471184,86.38,63,"pink","Fall",".C10","5","null","H5.sim.null"
"d1.c12","d1.c1",0.682921930472068,85.7,62,"red","Fall",".C10","5","null","H5.sim.null"
"b2.c12","b2.c1",0.692042148796574,85.01,61,"pink","Fall",".C10","5","null","H5.sim.null"
"d2.f12","d2.f1",0.699032375692834,84.32,60,"red","Fall",".C10","5","null","H5.sim.null"
"g3.g32","g3.g3",0.70328425112192,83.62,59,"green","Fall",".C10","5","null","H5.sim.null"
"c3.c32","c3.c3",0.706697213387524,82.92,58,"pink","Fall",".C10","5","null","H5.sim.null"
"d2.c12","d2.c1",0.735476922838472,82.21,57,"red","Fall",".C10","5","null","H5.sim.null"
"b2.e22","b2.e2",0.737699116586787,81.48,56,"green","Fall",".C10","5","null","H5.sim.null"
